name,acres,lon,lat,reporter,cause
ALKALIE,10031.0,-107.933,47.416,Charles M. Russell National Wildlife Refuge,Missing data/not specified/undetermined
OREGON,10026.0,-116.8843,41.3166,Elko District Office,Natural
FARLEY,10000.0,-104.14277648,36.23944473,New Mexico State Forestry Division,Missing data/not specified/undetermined
ERICCOMPLX,9995.0,-112.3183,39.7936,Richfield Field Office,Natural
SCOTT                    ,9820.0,-121.10305555,38.54694444,Amador-El Dorado Unit,Arson/incendiarism
APPLEVALLE,9748.0,-116.8357,43.8349,Boise District,Missing data/not specified/undetermined
YELLOW CRE,9680.0,-146.7033,65.7299,Alaska Fire Service,Natural
BEE #2,9620.0,-116.835,33.735,San Bernardino National Forest,Missing data/not specified/undetermined
CANYON,9523.0,-103.62166667,37.62166667,Pike and San Isabel National Forest,Recreation and ceremony
HENRY'S,9500.0,-105.74833333,43.17833333,"Medicine Bow-Routt National Forests, Thunder Basin National Grassland",Natural
631588 ANT,9300.0,-155.0382,64.3261,Alaska Fire Service,Natural
COLE CREEK,9290.0,-106.1672,42.9166,Casper Field Office,Equipment and vehicle use
SHEEP ROCK,9283.0,-112.61989,39.90848,Salt Lake Field Office,Natural
SINKERBUTT,9164.0,-116.4251,43.2121,Boise District,Equipment and vehicle use
LIT OWYHEE,8967.0,-117.6177,42.9499,Vale District,Natural
PETAN/DRY,8740.0,-116.3148,41.8774,Shoshone Paiute Tribes,Natural
HORSESHOE,8650.0,-111.78166667,35.42,Coconino National Forest,Debris and open burning
BRN BT 2,8616.0,-117.1221,43.6754,Vale District,Natural
JUNIPER,8480.0,-118.8678,46.3665,Spokane District,Equipment and vehicle use
QUINCY,8450.0,-119.9512,47.2999,Spokane District,Natural
BULL,8332.0,-118.68333333,44.86833333,Umatilla National Forest,Natural
CHINO WELL,8260.0,-105.7283,33.1723,Mescalero Agency,Missing data/not specified/undetermined
OTA 18,8199.5,-116.14802,43.21091,Boise District,Natural
BIG BRUIN/PNF,8100.0,-115.08333333,45.445,Payette National Forest,Natural
BUZZARD,7799.4,-119.4397,43.2202,Burns District,Natural
SOLDIER PS,7620.0,-111.9341,40.2166,Salt Lake Field Office,Natural
RABBIT,7600.0,-103.35166931,36.51722335,New Mexico State Forestry Division,Missing data/not specified/undetermined
HONDO,7525.0,-105.66666667,36.63166667,Carson National Forest,Debris and open burning
RACER,7376.0,-113.78,37.45333333,Dixie National Forest,Natural
COLFAX,7162.0,-107.8034,45.6089,Crow Agency,Equipment and vehicle use
WHITEOAK,7150.0,-118.4526,34.9777,California Desert District,Missing data/not specified/undetermined
PINATOSA,7100.0,-105.77666667,34.20833333,Cibola National Forest,Debris and open burning
LIGHTNING # 29           ,7000.0,-120.48888888,37.84888888,Tuolumne-Calaveras Unit,Natural
POT,7000.0,-111.40166667,34.57166667,Coconino National Forest,Natural
CLARK PEAK,6716.0,-109.95666667,32.69833333,Coronado National Forest,Missing data/not specified/undetermined
