name,acres,lon,lat,reporter,cause
LITTLE BRADSHAW,3387.3,-106.09166667,45.16666667,Custer Gallatin National Forest,Natural
DMERON CPX,3380.0,-113.6152,37.3086,Cedar City Field Office,Natural
AGGIE 2,3325.0,-148.18330001,65.19999999,Fairbanks Area,Natural
VAMOOSA,3300.0,-96.6386,34.9926,Wewoka Agency,Missing data/not specified/undetermined
DEEP,3222.0,-118.71666667,36.15111111,Sequoia National Forest,Missing data/not specified/undetermined
COLE COMPLEX,3128.0,-119.53055556,38.55416667,Humboldt-Toiyabe National Forest,Natural
RINCON,3097.0,-108.26055556,33.14194444,Gila National Forest,Natural
CAMP 36,3052.0,-111.94388889,35.93805556,Kaibab National Forest,Natural
LACEY GULCH,3040.0,-106.55,45.208,Miles City Field Office,Missing data/not specified/undetermined
ROSETTA LANE,3014.0,-104.773889,41.018889,Casper Interagency Dispatch Center,Missing data/not specified/undetermined
PHO NORTH,3007.0,-80.748395,25.531279,Everglades National Park,Natural
ROTTONBERG,3000.0,-80.8665,26.3504,Seminole Tribe,Natural
PORTER WFU,2911.0,-115.50166667,44.47583333,Salmon-Challis National Forest,Natural
ROAD 1,2820.0,-82.29166667,30.46666667,National Forests in Florida,Missing data/not specified/undetermined
MCGRUDER,2806.0,-107.8534,38.9314,"Southwest District, Montrose",Natural
TROY CANYON,2800.0,-115.540833,38.311944,Humboldt-Toiyabe National Forest,Natural
MAIL DRAW,2792.7,-109.1785,40.7683,Vernal Field Office,Natural
ANDREW,2693.0,-119.7338,39.3327,Carson City District Office,Firearms and explosives use
E FORK KOY,2611.3,-160.5507,65.2777,Alaska Fire Service,Natural
RL313,2560.0,-95.5028,47.9875,Red Lake Agency,Debris and open burning
FISCHER,2543.0,-100.6307,46.3372,Standing Rock Agency,Equipment and vehicle use
TRIANGLE FIRE,2500.0,-80.48028001,25.97861002,Florida Forest Service,Natural
PATTISON                 ,2476.0,-120.89888888,38.19888888,Tuolumne-Calaveras Unit,Equipment and vehicle use
IRONGATE,2400.0,-122.450639,41.953881,Northern California District,Natural
HETCHY,2310.0,-119.7246,37.9544,Yosemite National Park,Arson/incendiarism
PLEASURE,2300.0,-116.82333333,33.49194444,San Bernardino National Forest,Missing data/not specified/undetermined
CRYSTAL LAKE,2265.0,-75.36972001,41.15639001,Pennsylvania Division of Forest Fire Protection,Arson/incendiarism
UNIT 5-03-4W,2233.0,-93.70694444,29.87444444,Sabine National Wildlife Refuge,Natural
SWEET GUM FIRE,2189.0,-81.93194001,28.39889002,Florida Forest Service,Arson/incendiarism
INNOKO,2151.6,-156.6025,63.9327,Alaska Fire Service,Natural
COOPERETOW,2134.0,-80.551174,25.745167,Everglades National Park,Natural
YUKON,2125.0,-143.6274,65.5413,Alaska Fire Service,Natural
INDIA,2040.0,-117.3175,33.369167,Marine Corps Base Camp Pendleton,Missing data/not specified/undetermined
OREGON,2030.0,-121.512169,39.591,Northern California District,Equipment and vehicle use
PINE HILL,2022.0,-109.53449999,45.70160002,Southern Land Office,Natural
DUSTIN,2000.0,-96.0736,35.2693,Okmulgee Field Office,Arson/incendiarism
FTSILL9/7,2000.0,-98.57638889,34.71972222,Wichita Mountains National Wildlife Refuge,Missing data/not specified/undetermined
ST JOHNS ASSIST,2000.0,-80.90833333,28.55416667,Merritt Island National Wildlife Refuge,Natural
UPSHAW,2000.0,-110.2865,33.4778,San Carlos Agency,Natural
GOLD CREEK,1993.8,-145.51669999,64.86667001,Fairbanks Area,Natural
ARAGONITE,1970.0,-113.02986,40.72272,Salt Lake Field Office,Railroad operations and maintenance
ELMER CITY,1929.0,-118.9503,47.9988,Colville Agency,Misuse of fire by a minor
SPLIT FIRE #2,1920.0,-95.1909,34.68879999,Oklahoma Division of Forestry,Arson/incendiarism
MAGPIE CAMP,1883.0,-103.5075,47.29166667,Dakota Prairie National Grasslands,Recreation and ceremony
BORDER 16,1880.0,-116.5509,32.6001,California Desert District,Debris and open burning
SIDWALTER,1880.0,-121.5345,44.9248,Warm Springs Agency,Arson/incendiarism
COTTONWOOD,1845.0,-116.6689,33.9833,California Desert District,Recreation and ceremony
RED BULL,1836.0,-111.37777778,40.01027778,Uinta-Wasatch-Cache National Forest,Natural
ROLLING PLAINS - 2,1835.0,-100.73329999,32.08332999,Texas A & M Forest Service,Natural
COOK,1800.0,-106.14111111,45.65083333,Custer Gallatin National Forest,Natural
LOW MT,1759.0,-113.7119,36.9278,Arizona Strip Field Office,Natural
T LAKE,1752.4,-143.9356,63.8663,Alaska Fire Service,Natural
EARLY,1750.0,-119.96222222,37.86944444,Stanislaus National Forest,Power generation/transmission/distribution
RL332,1716.0,-95.1406,47.8633,Red Lake Agency,Debris and open burning
DOF 301,1700.0,-81.47972222,26.11638889,Florida Panther National Wildlife Refuge,Natural
BOAT HOUSE FIRE,1700.0,-93.8,29.82333333,Sabine National Wildlife Refuge,Natural
MIDDLE RID,1674.0,-114.0005,37.4261,Cedar City Field Office,Natural
LONGSTREET,1670.0,-116.32277778,36.46472222,Ash Meadows National Wildlife Refuge,Natural
DISCOVERY,1669.0,-145.7886,66.0135,Alaska Fire Service,Natural
BEN HILL GRIFFIN,1660.0,-81.78471999,26.46556002,Florida Forest Service,Missing data/not specified/undetermined
QUARTZ 2,1648.4,-164.936,65.3326,Alaska Fire Service,Natural
CHITSIA CR,1635.0,-150.5632,64.1537,Alaska Fire Service,Natural
KESTER MTN. FIRE,1605.0,-94.57033997,35.66199998,Oklahoma Division of Forestry,Arson/incendiarism
PINETOP,1600.0,-95.7339,34.68879999,Oklahoma Division of Forestry,Debris and open burning
BIG BEND,1571.0,-147.7642,65.3996,Alaska Fire Service,Natural
BIG HORN,1552.0,-114.4864,36.8864,Ely District Office,Natural
BIG BLUFF,1544.0,-144.3775,65.8402,Alaska Fire Service,Natural
GULLY,1540.0,-95.56231719,47.80590555,Minnesota Department of Natural Resources,Arson/incendiarism
UNIT 2 N OF VASTAR WF,1503.9,-94.16027778,29.65305556,McFaddin National Wildlife Refuge,Natural
PELICAN SJR,1500.0,-121.168,37.613,San Luis National Wildlife Refuge,Arson/incendiarism
HALMA FIRE,1500.0,-96.58110666,48.67926991,Minnesota Department of Natural Resources,Arson/incendiarism
SHERIDAN STREET FIRE,1500.0,-80.46583001,26.02249998,Florida Forest Service,Natural
DUNNE RANCH,1500.0,-99.695971,37.056948,Kansas Forest Service,Missing data/not specified/undetermined
RICHARDTON,1500.0,-102.317112,46.785974,North Dakota State Forest Service,Missing data/not specified/undetermined
BT-11,1500.0,-76.420833,35.016667,Camp LeJeune,Missing data/not specified/undetermined
BLOCK HJ,1496.0,-80.6261,25.40364,Everglades National Park,Debris and open burning
SALT CREEK,1483.0,-111.84759,39.43564,Richfield Field Office,Natural
EAST FORK,1477.1,-153.8356,63.2494,Alaska Fire Service,Natural
SPLIT FIRE,1470.0,-95.19067,34.66515998,Oklahoma Division of Forestry,Arson/incendiarism
SECTION33,1435.0,-92.9125,48.5078,Voyageurs National Park,Natural
GRASS LAKE,1419.9,-156.3987,65.6258,Alaska Fire Service,Recreation and ceremony
SLOKHENJIK,1407.0,-152.6176,65.835,Alaska Fire Service,Natural
TACOMA PARK PLACE,1400.0,-98.25201,45.54663,South Dakota Wildland Fire Suppression,Missing data/not specified/undetermined
PERRY,1360.0,-111.9907,34.217,Phoenix District Office,Firearms and explosives use
OLD HIGHWAY              ,1347.0,-119.96694444,37.49805555,Merced-Mariposa Unit,Arson/incendiarism
EAST,1330.0,-118.69222222,34.57388889,Angeles National Forest,Equipment and vehicle use
SMALLARMS2,1324.0,-147.6441,64.806,Alaska Fire Service,Firearms and explosives use
CHE HARJO,1320.0,-96.495,35.3723,Chickasaw Agency,Debris and open burning
ANDERSON DRAINAGE,1309.7,-108.74249999,46.25449999,Southern Land Office,Natural
GATOS,1307.0,-120.560469,36.233819,Central California District,Equipment and vehicle use
SHEAR ROAD FIRE,1300.0,-81.49611111,26.11361111,Florida Panther National Wildlife Refuge,Natural
FOUKE,1299.0,-93.94915998,33.25750001,Arkansas Forestry Commission,Arson/incendiarism
WILLIAMS BUTTE,1257.0,-120.52361111,48.38777778,Okanogan-Wenatchee National Forest,Natural
KINCAID                  ,1246.0,-121.655,37.39611111,Santa Clara Unit,Equipment and vehicle use
